username,timestamp,question,user_answer,is_correct,topic
,2026-06-02 09:33:14,太阳系中哪颗行星有美丽的光环？,B,False,太阳系
,2026-06-02 09:33:16,太阳系中哪颗行星有美丽的光环？,B,False,太阳系
,2026-06-02 09:39:10,地球围绕太阳公转一周需要多长时间？,A,False,太阳系
,2026-06-24 20:12:48,月球上的环形山主要是如何形成的？,A,False,月球
,2026-06-24 21:04:53,太阳的核心温度大约是多少？,C,False,太阳系
,2026-06-24 21:05:11,木星是太阳系中最大的行星，它是什么类型的行星？,B,True,太阳系
,2026-06-24 21:25:20,地球围绕太阳公转一周需要多长时间？,C,True,太阳系
,2026-06-24 21:50:18,地球围绕太阳公转一周需要多长时间？,C,True,太阳系
,2026-06-24 21:50:36,月球上的环形山主要是如何形成的？,A,False,月球
,2026-06-24 23:48:17,离地球最近的恒星是哪一颗？,A,True,恒星
,2026-06-24 23:48:39,太阳系中哪颗行星有美丽的光环？,C,True,太阳系
,2026-06-24 23:48:53,地球围绕太阳公转一周需要多长时间？,C,True,太阳系
,2026-06-24 23:48:53,地球围绕太阳公转一周需要多长时间？,C,True,太阳系
,2026-06-24 23:49:03,哈勃太空望远镜是以谁的名字命名的？,B,True,天文探索
,2026-06-24 23:49:15,离地球最近的恒星是哪一颗？,A,True,恒星
,2026-06-24 23:49:32,银河系的形状是什么？,A,False,银河系
,2026-06-24 23:49:42,地球围绕太阳公转一周需要多长时间？,C,True,太阳系
,2026-06-24 23:49:52,银河系的形状是什么？,B,True,银河系
,2026-06-24 23:50:03,太阳的核心温度大约是多少？,C,False,太阳系
鼠鼠,2026-06-25 01:08:39,哈勃太空望远镜是以谁的名字命名的？,A,False,天文探索
鼠鼠,2026-06-25 01:08:44,黑洞是什么？,B,True,黑洞与天体物理
鼠鼠,2026-06-25 01:08:50,月球上的环形山主要是如何形成的？,B,True,月球
鼠鼠,2026-06-25 01:09:02,银河系的形状是什么？,C,False,银河系
鼠鼠,2026-06-25 01:09:10,离地球最近的恒星是哪一颗？,A,True,恒星
鼠鼠,2026-06-25 01:09:16,太阳系中哪颗行星有美丽的光环？,B,False,太阳系
鼠鼠,2026-06-25 01:09:23,太阳的核心温度大约是多少？,C,False,太阳系
鼠鼠,2026-06-25 01:09:28,月球上的环形山主要是如何形成的？,A,False,月球
鼠鼠,2026-06-25 01:09:33,黑洞是什么？,A,False,黑洞与天体物理
鼠鼠,2026-06-25 01:09:38,月球上的环形山主要是如何形成的？,A,False,月球
鼠鼠,2026-06-25 01:09:40,月球上的环形山主要是如何形成的？,B,True,月球
鼠鼠,2026-06-25 09:09:36,什么是超新星？,A,False,恒星
鼠鼠,2026-06-25 09:23:50,太阳系中哪颗行星有美丽的光环？,A,False,太阳系
鼠鼠,2026-06-25 09:23:55,银河系的形状是什么？,B,True,银河系
鼠鼠,2026-06-25 09:23:59,黑洞是什么？,A,False,黑洞与天体物理
鼠鼠,2026-06-25 09:24:04,哈勃太空望远镜是以谁的名字命名的？,B,True,天文探索
鼠鼠,2026-06-25 09:24:09,月球上的环形山主要是如何形成的？,C,False,月球
鼠鼠,2026-06-25 09:24:13,银河系的形状是什么？,C,False,银河系
鼠鼠,2026-06-25 09:24:21,月球上的环形山主要是如何形成的？,C,False,月球
鼠鼠,2026-06-25 09:24:29,黑洞是什么？,C,False,黑洞与天体物理
鼠鼠,2026-06-25 09:24:37,什么是超新星？,A,False,恒星
